tvil_hotel_id,name,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
1435824,"Гостиница ""Ангара""",Иркутск,"Иркутск, улица Сухэ-Батора, 7",,,https://tvil.ru/city/irkutsk/hotels/1435824/,300,2026-03-19,2026-03-20
1434513,"Парк отель ""Байкал""",Утулик,"Утулик, Территория туристической базы ""Байкал""",,,https://tvil.ru/city/utulik/hotels/1434513/,9,2026-03-19,2026-03-20
906031,"Гостиница ""Матрёшка""",Иркутск,"Иркутск, улица Софьи Перовской, 31",,,https://tvil.ru/city/irkutsk/hotels/906031/,35,2026-03-19,2026-03-20
1265180,"Отель ""Байкал Бизнес Центр""",Иркутск,"Иркутск, Байкальская улица, 279",,,https://tvil.ru/city/irkutsk/hotels/1265180/,59,2026-03-19,2026-03-20
1296851,"Гостиница ""Русь""",Иркутск,"Иркутск, улица Свердлова, 19",,,https://tvil.ru/city/irkutsk/hotels/1296851/,56,2026-03-19,2026-03-20
1328740,"Гостиница ""На Звездинской""",Иркутск,"Иркутск, Звездинская улица, 5",,,https://tvil.ru/city/irkutsk/hotels/1328740/,30,2026-03-19,2026-03-20
1845315,"Апарт -отель ""BaikalStory """,Иркутск,"Иркутск, улица Лыткина, 9/6",,,https://tvil.ru/city/irkutsk/hotels/1845315/,10,2026-03-19,2026-03-20
1889753,"Мини-отель ""Проспект""",Иркутск,"Иркутск, проспект Маршала Жукова, 5/4",,,https://tvil.ru/city/irkutsk/hotels/1889753/,4,2026-03-19,2026-03-20
1009170,"Апарт-отель ""Sokolov Hotel""",Иркутск,"Иркутск, Байкальская улица, 129",,,https://tvil.ru/city/irkutsk/hotels/1009170/,30,2026-03-19,2026-03-20
1490581,"Гостиница ""Юбилейная""",Иркутск,"Иркутск, микрорайон Юбилейный, 118",,,https://tvil.ru/city/irkutsk/hotels/1490581/,23,2026-03-19,2026-03-20
1298063,"Бутик-отель ""География""",Иркутск,"Иркутск, улица 3 Июля, 17/1",,,https://tvil.ru/city/irkutsk/hotels/1298063/,12,2026-03-19,2026-03-20
1064267,Мини-отель «Nice People»,Иркутск,"Иркутск, Ямская улица, 11",,,https://tvil.ru/city/irkutsk/hotels/1064267/,6,2026-03-19,2026-03-20
787596,"Гостиница ""Ochagof""",Иркутск,"Иркутск, Дальневосточная улица, 21",,,https://tvil.ru/city/irkutsk/hotels/787596/,23,2026-03-19,2026-03-20
1000539,"Отель ""Маяк""",Листвянка,"Листвянка, улица Горького, 85А",,,https://tvil.ru/city/listvyanka/hotels/1000539/,75,2026-03-19,2026-03-20
1277758,"Отель ""Гранд Байкал""",Байкальск,"Байкальск, Слюдянский район, Байкальск, квартал Красный Ключ, 91",,,https://tvil.ru/city/baikalsk/hotels/1277758/,64,2026-03-19,2026-03-20
1372499,"Отель ""Байкал Хан Ольхон""",Хужир,"Хужир, улица Ворошилова, 18",,,https://tvil.ru/city/huzhir/hotels/1372499/,37,2026-03-19,2026-03-19
946962,"Отель ""Лотос""",Иркутск,"Иркутск, Байкальская улица, 14Б",,,https://tvil.ru/city/irkutsk/hotels/946962/,21,2026-03-19,2026-03-20
1032271,"Отель ""Даурия""",Листвянка,"Листвянка, улица Куликова, 44",,,https://tvil.ru/city/listvyanka/hotels/1032271/,15,2026-03-19,2026-03-20
1265779,"Отель ""Клубный Квартал""",Братск,"Братск, бульвар Победы, 30",,,https://tvil.ru/city/bratsk/hotels/1265779/,48,2026-03-19,2026-03-20
1287498,"Парк-отель ""Соболинка""",Байкальск,"Байкальск, Россия, Иркутская область, Слюдянский район, Байкальск, квартал Красный Ключ, 90",,,https://tvil.ru/city/baikalsk/hotels/1287498/,33,2026-03-19,2026-03-20
1276636,"Парк-отель ""Бурдугуз""",Иркутск,"Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",,,https://tvil.ru/city/irkutsk/hotels/1276636/,69,2026-03-19,2026-03-20
1367731,"Отель ""Яковлевъ""",Иркутск,"Иркутск, улица Тимирязева, 9",,,https://tvil.ru/city/irkutsk/hotels/1367731/,25,2026-03-19,2026-03-20
1390225,"Гостиница ""Добрый Кот""",Иркутск,"Иркутск, улица Румянцева, 22",,,https://tvil.ru/city/irkutsk/hotels/1390225/,10,2026-03-19,2026-03-20
1462849,"Гостиница ""7 дорог""",Иркутск,"Иркутск, улица Ядринцева, 88",,,https://tvil.ru/city/irkutsk/hotels/1462849/,19,2026-03-19,2026-03-20
1491765,"Гостиница ""130Hotel""",Иркутск,"Иркутск, улица Лапина, 43А",,,https://tvil.ru/city/irkutsk/hotels/1491765/,12,2026-03-19,2026-03-20
1487384,"Парк отель ""Уюга""",Деревня Курма,"Деревня Курма, Парк отель ""Уюга""   , б.н",,,https://tvil.ru/city/derevnya-kurma/hotels/1487384/,58,2026-03-19,2026-03-20
1609403,"Отель ""Иркут""",Иркутск,"Иркутск, Пролетарская улица, 7",,,https://tvil.ru/city/irkutsk/hotels/1609403/,30,2026-03-19,2026-03-20
1690094,Гостиница Олимпиада,Ангарск,"Ангарск, улица Чайковского, 48",,,https://tvil.ru/city/angarsk/hotels/1690094/,25,2026-03-19,2026-03-20
1892012,"Отель ""Подлеморье""",Листвянка,"Листвянка, улица Горького, 31",,,https://tvil.ru/city/listvyanka/hotels/1892012/,14,2026-03-19,2026-03-20
1913029,"Отель ""Точка Байкала""",Хужир,"Хужир, Байкальская улица, 64",,,https://tvil.ru/city/huzhir/hotels/1913029/,38,2026-03-19,2026-03-20
1467982,Гостиница,Нижнеудинск,"Нижнеудинск, Октябрьская улица, 1-Б",,,https://tvil.ru/city/nizhneudinsk/hotels/1467982/,5,2026-03-19,2026-03-20
1490199,Отель «Альпари»,Иркутск,"Иркутск, микрорайон Приморский, 24-А",,,https://tvil.ru/city/irkutsk/hotels/1490199/,10,2026-03-19,2026-03-20
1382100,"Гостиница ""У Истока""",Иркутск,"Иркутск, улица Ржанова, 43",,,https://tvil.ru/city/irkutsk/hotels/1382100/,24,2026-03-19,2026-03-20
895518,"Гостиница ""Космос""",Байкальск,"Байкальск, микрорайон Гагарина, 2-А",,,https://tvil.ru/city/baikalsk/hotels/895518/,16,2026-03-19,2026-03-20
