tvil_hotel_id,room_name,room_id,free_rooms,all_rooms,room_capacity,price,url
1435824,"Стандартный одноместный номер:  Номер, 1-местный, 1-комнатный",1438243,2,30,1,4500,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Двухместный стандартный номер:  Номер, Стандарт, 2-местный, 1-комнатный",1438364,2,77,2,5000,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Одноместный номер ""Бизнес"":  Номер, 1-местный, 1-комнатный",1438456,2,46,1,5000,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Двухместный номер ""Бизнес"" twin:  Номер, 2-местный, 1-комнатный",1438604,2,49,2,5500,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Двухместный номер ""Бизнес"" dbl:  Номер, 2-местный, 1-комнатный",1438660,2,42,2,5500,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Джуниор Сюит:  Номер, Семейный, 2-местный, 2-комнатный",1438703,2,16,2,7100,https://tvil.ru/city/irkutsk/hotels/1435824/
1435824,"Люкс:  Номер, Люкс, 2-местный, 3-комнатный",1438739,1,0,2,8100,https://tvil.ru/city/irkutsk/hotels/1435824/
1265180,"Стандартный номер:  Номер, Стандарт, 1-местный, 1-комнатный",1265276,,0,1,,https://tvil.ru/city/irkutsk/hotels/1265180/
1265180,"Двухместный номер :  Номер, Стандарт, 3-местный (2 основных + 1 доп), 1-комнатный",1265731,2,22,3,7600,https://tvil.ru/city/irkutsk/hotels/1265180/
1265180,"Улучшенный номер:  Номер, Стандарт, 2-местный, 1-комнатный",1265929,2,21,2,7600,https://tvil.ru/city/irkutsk/hotels/1265180/
1265180,"Полулюкс:  Номер, Полулюкс, 3-местный (2 основных + 1 доп), 1-комнатный",1266058,1,0,3,12600,https://tvil.ru/city/irkutsk/hotels/1265180/
1265180,"Люкс:  Номер, Люкс, 3-местный (2 основных + 1 доп), 2-комнатный",1266100,1,0,3,17600,https://tvil.ru/city/irkutsk/hotels/1265180/
1265180,,1350861,,0,,,https://tvil.ru/city/irkutsk/hotels/1265180/
906031,"Стандарт одноместный:  Номер, Стандарт, 1-местный, 1-комнатный",906055,2,9,1,3906,https://tvil.ru/city/irkutsk/hotels/906031/
906031,"Комфорт одноместный:  Номер, Стандарт, 1-местный, 1-комнатный",907207,,0,1,,https://tvil.ru/city/irkutsk/hotels/906031/
906031,"Стандарт двухместный:  Номер, Стандарт, 2-местный, 1-комнатный",907230,2,5,2,3906,https://tvil.ru/city/irkutsk/hotels/906031/
906031,"Комфорт двухместный:  Номер, 2-местный, 1-комнатный",907232,2,9,2,4284,https://tvil.ru/city/irkutsk/hotels/906031/
906031,"Полулюкс:  Номер, Полулюкс, 3-местный (2 основных + 1 доп), 1-комнатный",907248,2,8,3,4662,https://tvil.ru/city/irkutsk/hotels/906031/
906031,"Полулюкс (Реновация 2025) на 4 этаже:  Номер, Полулюкс, 3-местный (2 основных + 1 доп), 1-комнатный",2023204,1,0,3,5292,https://tvil.ru/city/irkutsk/hotels/906031/
1296851,"Одноместный :  Номер, Стандарт, 1-местный, 1-комнатный",1297123,2,23,1,4100,https://tvil.ru/city/irkutsk/hotels/1296851/
1296851,"Двухместный:  Номер, Стандарт, 2-местный, 1-комнатный",1297175,2,18,2,4500,https://tvil.ru/city/irkutsk/hotels/1296851/
1296851,"Комфорт:  Номер, Семейный, 3-местный (2 основных + 1 доп), 2-комнатный",1297212,2,11,3,5600,https://tvil.ru/city/irkutsk/hotels/1296851/
1296851,"Делюкс:  Номер, Полулюкс, 3-местный (2 основных + 1 доп), 2-комнатный",1297274,2,4,3,6200,https://tvil.ru/city/irkutsk/hotels/1296851/
1296851,"Люкс:  Номер, Люкс, 3-местный (2 основных + 1 доп)",1745231,1,0,3,7400,https://tvil.ru/city/irkutsk/hotels/1296851/
1328740,"DBL Номер  :  Номер, Стандарт, 2-местный, 1-комнатный",1328757,2,16,2,5000,https://tvil.ru/city/irkutsk/hotels/1328740/
1328740,"TRPL (номер с тремя односпальными кроватями):  Номер, Эконом, 1-местный, 1-комнатный",1328776,2,3,1,6000,https://tvil.ru/city/irkutsk/hotels/1328740/
1328740,"Семейный:  Номер, Стандарт, 3-местный, 1-комнатный",1328807,2,3,3,6000,https://tvil.ru/city/irkutsk/hotels/1328740/
1889753,"Эконом со своим сан узлом:  Номер, Эконом, 4-местный, 1-комнатный",1889755,2,2,4,4100,https://tvil.ru/city/irkutsk/hotels/1889753/
1889753,"эконом с общим сан узлом:  Номер, Эконом, 4-местный, 1-комнатный",1889760,,0,4,,https://tvil.ru/city/irkutsk/hotels/1889753/
1009170,"Одноместный комфорт:  Квартира, 1-местный, 1-комнатный",1009172,,0,1,,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Семейный комфорт 2+1:  Квартира, 3-местный, 1-комнатный",1009175,2,3,3,3500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Семейный Комфорт 2+2:  Квартира, 4-местный, 1-комнатный",1009182,2,5,4,3500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Семейный комфорт с диваном:  Квартира, 4-местный, 1-комнатный",1418839,,0,4,,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Стандарт трехместный:  Номер, Стандарт, 3-местный, 1-комнатный",1418843,1,0,3,2500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Стандарт четырехместный:  Номер, Стандарт, 4-местный, 1-комнатный",1418848,2,12,4,2500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Семейный комфорт 2+1+1:  Квартира, 4-местный, 1-комнатный",1418864,2,2,4,3500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Стандарт двухместный:  Номер, Стандарт, 2-местный",1945501,1,0,2,2500,https://tvil.ru/city/irkutsk/hotels/1009170/
1009170,"Семиместный стандарт:  Номер, Стандарт, 7-местный",2005843,1,0,7,5000,https://tvil.ru/city/irkutsk/hotels/1009170/
1490581,"Одноместный номер:  Номер, Эконом, 1-местный, 1-комнатный",1508160,2,6,1,2500,https://tvil.ru/city/irkutsk/hotels/1490581/
1490581,"Одноместный номер с балконом:  Номер, Эконом, 1-местный, 1-комнатный",1508164,1,0,1,2700,https://tvil.ru/city/irkutsk/hotels/1490581/
