tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
906031,"Гостиница ""Матрёшка""",35,5,9,14.29,2026-03-02,5228.00
1265180,"Отель ""Байкал Бизнес Центр""",59,2,3,3.39,2026-03-02,8500.00
1434513,"Парк отель ""Байкал""",9,12,40,133.33,2026-03-02,3500.00
1296851,"Гостиница ""Русь""",56,4,6,7.14,2026-03-02,4100.00
1328740,"Гостиница ""На Звездинской""",30,7,13,23.33,2026-03-02,5000.00
1845315,"Апарт -отель ""BaikalStory """,10,2,10,20.0,2026-03-02,4280.00
1889753,"Мини-отель ""Проспект""",4,2,8,50.0,2026-03-02,3300.00
1782205,"Гостиница ""Березка""",4,1,4,25.0,2026-03-02,6900.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,9,34,30.0,2026-03-02,3000.00
1490581,"Гостиница ""Юбилейная""",23,3,6,13.04,2026-03-02,3000.00
1298063,"Бутик-отель ""География""",12,1,2,8.33,2026-03-02,8800.00
1000539,"Отель ""Маяк""",75,7,13,9.33,2026-03-02,8510.00
1277758,"Отель ""Гранд Байкал""",64,3,9,4.69,2026-03-02,10800.00
1032271,"Отель ""Даурия""",15,4,10,26.67,2026-03-02,5500.00
1265779,"Отель ""Клубный Квартал""",48,2,4,4.17,2026-03-02,4000.00
1287498,"Парк-отель ""Соболинка""",33,4,12,12.12,2026-03-02,9450.00
1276636,"Парк-отель ""Бурдугуз""",69,10,30,14.49,2026-03-02,19500.00
1390225,"Гостиница ""Добрый Кот""",10,16,44,160.0,2026-03-02,800.00
1367731,"Отель ""Яковлевъ""",25,8,16,32.0,2026-03-02,4700.00
1462849,"Гостиница ""7 дорог""",19,8,28,42.11,2026-03-02,7970.00
1491765,"Гостиница ""130Hotel""",12,0,0,0.0,2026-03-02,
1487384,"Парк отель ""Уюга""",58,0,0,0.0,2026-03-02,
1609403,"Отель ""Иркут""",30,0,0,0.0,2026-03-02,
1690094,Гостиница Олимпиада,25,2,2,8.0,2026-03-02,1700.00
1892012,"Отель ""Подлеморье""",14,4,9,28.57,2026-03-02,6800.00
1913029,"Отель ""Точка Байкала""",38,2,8,5.26,2026-03-02,14500.00
1490199,Отель «Альпари»,10,4,10,40.0,2026-03-02,2400.00
1382100,"Гостиница ""У Истока""",24,1,2,4.17,2026-03-02,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",31,0,0,0.0,2026-03-02,
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,6,11,40.0,2026-03-02,4100.00
904225,"Отель ""Михаил Строгов""",21,2,4,9.52,2026-03-02,7500.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-02,4500.00
1441288,Отель Армат 4*,40,8,17,20.0,2026-03-02,7400.00
2063101,"Гостиница ""Азия-Европа""",19,6,12,31.58,2026-03-02,5250.00
1775519,"Гостиница ""Nord Star Hotel""",12,2,8,16.67,2026-03-02,9800.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-02,5000.00
1367592,"Отель ""Атлас""",28,2,4,7.14,2026-03-02,5600.00
1472664,"Гостиница ""Байкал Форест""",76,4,10,5.26,2026-03-02,13400.00
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-02,
1450305,Дача БайкалЭко,10,1,2,10.0,2026-03-02,27000.00
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-02,9000.00
895518,"Гостиница ""Космос""",16,2,12,12.5,2026-03-02,3675.00
1296594,"Отель ""Тайга""",44,8,19,18.18,2026-03-02,4200.00
1467982,Гостиница,5,3,5,60.0,2026-03-02,1500.00
1508283,"Гостиница"" Аврора""",7,1,3,14.29,2026-03-02,3700.00
1097942,Hotel Olhon 2*,28,2,8,7.14,2026-03-02,9000.00
1390108,"Гостиница  ""Воробьевы горы""",11,5,23,45.45,2026-03-02,15000.00
1632075,"Отель"" Арбат""",11,0,0,0.0,2026-03-02,
1785783,"Отель ""Белый Берег""",5,0,0,0.0,2026-03-02,
767249,"Отель ""Купеческий Дворъ""",14,0,0,0.0,2026-03-02,
898794,"Бутик-отель ""Marussia""",14,0,0,0.0,2026-03-02,
1129766,"Доходный дом ""М.А. Листратовой""",15,0,0,0.0,2026-03-02,
1343236,"Бутик-отель ""Аристократ""",12,0,0,0.0,2026-03-02,
1345611,Гостиница,29,0,0,0.0,2026-03-02,
1335449,Отель Амурский,17,2,4,11.76,2026-03-02,22000.00
1378154,"Гостиница ""Байкал - Северное море""",120,14,34,11.67,2026-03-02,6785.00
1802586,"Гостиница ""BAIKAL VIEW""",99,0,0,0.0,2026-03-02,
1899852,Отель «Байкал-Аляска»,24,0,0,0.0,2026-03-02,
1979910,"Отель""NUUR HOTEL""",28,1,4,3.57,2026-03-02,17000.00
1993192,"Парк-отель ""Алтан""",21,1,4,4.76,2026-03-02,43750.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-02,4350.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-02,3100.00
2032078,Гостиница «Усадьба Егорова»,10,6,15,60.0,2026-03-02,7000.00
