tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-04-04,300,14,24,4.67,4500.00
906031,"Гостиница ""Матрёшка""",2026-04-04,35,9,18,25.71,4284.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-04-04,59,6,14,10.17,6100.00
1296851,"Гостиница ""Русь""",2026-04-04,56,9,21,16.07,4100.00
1328740,"Гостиница ""На Звездинской""",2026-04-04,30,6,12,20.0,5000.00
1845315,"Апарт -отель ""BaikalStory """,2026-04-04,10,1,4,10.0,4600.00
1782205,"Гостиница ""Березка""",2026-04-04,4,1,4,25.0,4200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-04-04,30,10,38,33.33,3000.00
1490581,"Гостиница ""Юбилейная""",2026-04-04,23,8,13,34.78,2500.00
1298063,"Бутик-отель ""География""",2026-04-04,12,7,16,58.33,6000.00
1064267,"Мини-отель ""Nice People""",2026-04-04,6,4,8,66.67,3100.00
787596,"Гостиница ""Ochagof""",2026-04-04,23,3,9,13.04,5950.00
1000539,"Отель ""Маяк""",2026-04-04,75,8,15,10.67,5400.00
1277758,"Отель ""Гранд Байкал""",2026-04-04,64,4,10,6.25,4200.00
946962,"Отель ""Лотос""",2026-04-04,21,11,22,52.38,2150.00
1032271,"Отель ""Даурия""",2026-04-04,15,2,4,13.33,4500.00
1265779,"Отель ""Клубный Квартал""",2026-04-04,48,5,10,10.42,3400.00
1287498,"Парк-отель ""Соболинка""",2026-04-04,33,3,7,9.09,4100.00
1276636,"Парк-отель ""Бурдугуз""",2026-04-04,69,5,15,7.25,19500.00
1367731,"Отель ""Яковлевъ""",2026-04-04,25,7,16,28.0,3000.00
1390225,"Гостиница ""Добрый Кот""",2026-04-04,10,7,17,70.0,800.00
1462849,"Гостиница ""7 дорог""",2026-04-04,19,7,24,36.84,7200.00
1491765,"Гостиница ""130Hotel""",2026-04-04,12,5,9,41.67,3500.00
1487384,"Парк отель ""Уюга""",2026-04-04,58,10,38,17.24,4500.00
1609403,"Отель ""Иркут""",2026-04-04,30,10,17,33.33,3300.00
1690094,Гостиница Олимпиада,2026-04-04,25,0,0,0.0,
1892012,"Отель ""Подлеморье""",2026-04-04,14,0,0,0.0,
1467982,Гостиница,2026-04-04,5,0,0,0.0,
1490199,Отель «Альпари»,2026-04-04,10,4,10,40.0,2400.00
1382100,"Гостиница ""У Истока""",2026-04-04,24,4,8,16.67,3400.00
895518,"Гостиница ""Космос""",2026-04-04,16,2,5,12.5,3675.00
904225,"Отель ""Михаил Строгов""",2026-04-04,21,4,8,19.05,4500.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-04-04,31,11,26,35.48,4500.00
1655828,"Апарт-отель ""Светлый""",2026-04-04,6,4,8,66.67,4500.00
1851647,"Парк-Отель ""Шелест""",2026-04-04,8,4,8,50.0,5000.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-04-04,15,7,12,46.67,5200.00
1441288,Отель Армат 4*,2026-04-04,40,8,17,20.0,6200.00
1296594,"Отель ""Тайга""",2026-04-04,44,9,24,20.45,5000.00
1367592,"Отель ""Атлас""",2026-04-04,28,3,8,10.71,4300.00
1472664,"Гостиница ""Байкал Форест""",2026-04-04,76,8,22,10.53,7100.00
2063101,"Гостиница ""Азия-Европа""",2026-04-04,19,9,18,47.37,4000.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-04-04,66,5,10,7.58,4500.00
425543,"Отель ""Звезда""",2026-04-04,64,6,14,9.38,5200.00
1508283,"Гостиница"" Аврора""",2026-04-04,7,2,6,28.57,3500.00
1390108,"Гостиница  ""Воробьевы горы""",2026-04-04,11,7,28,63.64,11000.00
1632075,"Отель"" Арбат""",2026-04-04,11,4,6,36.36,4390.00
1785783,"Отель ""Белый Берег""",2026-04-04,5,4,16,80.0,9500.00
2032078,Гостиница «Усадьба Егорова»,2026-04-04,10,8,20,80.0,5400.00
767249,"Отель ""Купеческий Дворъ""",2026-04-04,14,12,35,85.71,6700.00
898794,"Бутик-отель ""Маруся""",2026-04-04,14,6,14,42.86,6300.00
1129766,"Доходный дом ""М.А. Листратовой""",2026-04-04,15,11,21,73.33,3885.00
1345611,Гостиница,2026-04-04,29,10,24,34.48,9000.00
1335449,Отель Амурский,2026-04-04,17,9,20,52.94,14000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-04-04,120,0,0,0.0,
1802586,"Гостиница ""BAIKAL VIEW""",2026-04-04,99,0,0,0.0,
1899852,Отель «Байкал-Аляска»,2026-04-04,24,4,8,16.67,9500.00
1979910,"Отель""NUUR HOTEL""",2026-04-04,28,9,25,32.14,5500.00
2036706,"Отель ""Магистраль""",2026-04-04,21,9,25,42.86,3100.00
1367536,"Отель ""Санаторий Солнечный""",2026-04-04,125,4,8,3.2,4350.00
2110558,"Гостиница ""Малый отель""",2026-04-04,11,6,11,54.55,4500.00
