tvil_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
1435824,"Гостиница ""Ангара""",2026-05-21,300,9,16,3.0,4500.00
1296851,"Гостиница ""Русь""",2026-05-21,56,8,18,14.29,4100.00
1265180,"Отель ""Байкал Бизнес Центр""",2026-05-21,59,4,12,6.78,7600.00
906031,"Гостиница ""Матрёшка""",2026-05-21,35,9,19,25.71,4032.00
1328740,"Гостиница ""На Звездинской""",2026-05-21,30,6,12,20.0,5000.00
1845315,"Апарт -отель ""BaikalStory """,2026-05-21,10,1,4,10.0,4400.00
1889753,"Мини-отель ""Проспект""",2026-05-21,4,3,12,75.0,3200.00
1782205,"Гостиница ""Березка""",2026-05-21,4,1,4,25.0,4200.00
1009170,"Апарт-отель ""Sokolov Hotel""",2026-05-21,30,14,52,46.67,2500.00
1490581,"Гостиница ""Юбилейная""",2026-05-21,23,8,14,34.78,2500.00
1064267,"Мини-отель ""Nice People""",2026-05-21,6,3,7,50.0,3600.00
1298063,"Бутик-отель ""География""",2026-05-21,12,6,12,50.0,6600.00
787596,"Гостиница ""Ochagof""",2026-05-21,23,2,6,8.7,5950.00
1000539,"Отель ""Маяк""",2026-05-21,75,9,17,12.0,6720.00
1277758,"Отель ""Гранд Байкал""",2026-05-21,64,5,11,7.81,3900.00
1372499,"Отель ""Байкал Хан Ольхон""",2026-05-21,37,7,14,18.92,12650.00
895518,"Гостиница ""Космос""",2026-05-21,16,9,30,56.25,2675.00
424345,"Гостиничный комплекс ""Лазурный берег""",2026-05-21,66,5,10,7.58,4500.00
904225,"Отель ""Михаил Строгов""",2026-05-21,21,7,12,33.33,4500.00
1032271,"Отель ""Даурия""",2026-05-21,15,3,8,20.0,4500.00
946962,"Отель ""Лотос""",2026-05-21,21,9,22,42.86,1150.00
1390225,"Гостиница ""Добрый Кот""",2026-05-21,10,7,16,70.0,800.00
1690094,Гостиница Олимпиада,2026-05-21,25,4,7,16.0,1700.00
1467982,Гостиница,2026-05-21,5,2,4,40.0,2000.00
1508283,"Гостиница"" Аврора""",2026-05-21,7,2,5,28.57,2200.00
1490199,Отель «Альпари»,2026-05-21,10,0,0,0.0,
1609403,"Отель ""Иркут""",2026-05-21,30,0,0,0.0,
1382100,"Гостиница ""У Истока""",2026-05-21,24,0,0,0.0,
1491765,"Гостиница ""130Hotel""",2026-05-21,12,0,0,0.0,
1129766,"Доходный дом ""М.А. Листратовой""",2026-05-21,15,0,0,0.0,
1343236,"Бутик-отель ""Аристократ""",2026-05-21,12,0,0,0.0,
1655828,"Апарт-отель ""Светлый""",2026-05-21,6,4,8,66.67,4500.00
1314294,"Гостиница ""Ангара-Приоритет""",2026-05-21,31,5,10,16.13,4500.00
1892012,"Отель ""Подлеморье""",2026-05-21,14,5,11,35.71,4500.00
1296594,"Отель ""Тайга""",2026-05-21,44,10,25,22.73,4800.00
1487384,"Парк отель ""Уюга""",2026-05-21,58,10,38,17.24,5000.00
1851647,"Парк-Отель ""Шелест""",2026-05-21,8,4,8,50.0,5000.00
1441288,Отель Армат 4*,2026-05-21,40,7,16,17.5,6200.00
1462849,"Гостиница ""7 дорог""",2026-05-21,19,9,34,47.37,7200.00
1276636,"Парк-отель ""Бурдугуз""",2026-05-21,69,5,15,7.25,19500.00
1367731,"Отель ""Яковлевъ""",2026-05-21,25,4,10,16.0,3400.00
1367592,"Отель ""Атлас""",2026-05-21,28,8,20,28.57,3700.00
1472664,"Гостиница ""Байкал Форест""",2026-05-21,76,3,7,3.95,5800.00
1450305,Дача БайкалЭко,2026-05-21,10,4,8,40.0,10000.00
2063101,"Гостиница ""Азия-Европа""",2026-05-21,19,8,16,42.11,4000.00
1378154,"Гостиница ""Байкал - Северное море""",2026-05-21,120,14,34,11.67,5500.00
1632075,"Отель"" Арбат""",2026-05-21,11,2,4,18.18,7190.00
2112642,"Гостиница ""Автовокзал""",2026-05-21,22,8,14,36.36,2600.00
2032078,Гостиница «Усадьба Егорова»,2026-05-21,10,6,16,60.0,4700.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",2026-05-21,15,8,14,53.33,5200.00
1785783,"Отель ""Белый Берег""",2026-05-21,5,4,16,80.0,9500.00
425543,"Отель ""Звезда""",2026-05-21,64,7,16,10.94,6200.00
898794,"Бутик-отель ""Маруся""",2026-05-21,14,5,11,35.71,7140.00
767249,"Отель ""Купеческий Дворъ""",2026-05-21,14,4,11,28.57,6970.00
1979910,"Отель""NUUR HOTEL""",2026-05-21,28,8,21,28.57,7300.00
1345611,Гостиница,2026-05-21,29,9,21,31.03,9200.00
1899852,Отель «Байкал-Аляска»,2026-05-21,24,0,0,0.0,
1390108,"Гостиница  ""Воробьевы горы""",2026-05-21,11,0,0,0.0,
1335449,Отель Амурский,2026-05-21,17,0,0,0.0,
1802586,"Гостиница ""BAIKAL VIEW""",2026-05-21,99,0,0,0.0,
1019043,"Гостиница ""Спектр""",2026-05-21,14,4,10,28.57,2800.00
1367536,"Отель ""Санаторий Солнечный""",2026-05-21,125,2,4,1.6,4350.00
2110558,"Гостиница ""Малый отель""",2026-05-21,11,5,9,45.45,4500.00
2131235,"Отель ""Усадьба 1901""",2026-05-21,18,3,6,16.67,6500.00
