city,tvil_hotel_id,name,address,url,rooms_number
Иркутск,1435824,"Гостиница ""Ангара""","Иркутск, улица Сухэ-Батора, 7",https://tvil.ru/city/irkutsk/hotels/1435824/,300
Утулик,1434513,"Парк отель ""Байкал""","Утулик, Территория туристической базы ""Байкал""",https://tvil.ru/city/utulik/hotels/1434513/,9
Иркутск,1328740,"Гостиница ""На Звездинской""","Иркутск, Звездинская улица, 5",https://tvil.ru/city/irkutsk/hotels/1328740/,30
Иркутск,1889753,"Мини-отель ""Проспект""","Иркутск, проспект Маршала Жукова, 5/4",https://tvil.ru/city/irkutsk/hotels/1889753/,4
Иркутск,1009170,"Апарт-отель ""Sokolov Hotel""","Иркутск, Байкальская улица, 129",https://tvil.ru/city/irkutsk/hotels/1009170/,30
Иркутск,787596,"Гостиница ""Ochagof""","Иркутск, Дальневосточная улица, 21",https://tvil.ru/city/irkutsk/hotels/787596/,23
Листвянка,1000539,"Отель ""Маяк""","Листвянка, улица Горького, 85А",https://tvil.ru/city/listvyanka/hotels/1000539/,75
Хужир,1372499,"Отель ""Байкал Хан Ольхон""","Хужир, улица Ворошилова, 18",https://tvil.ru/city/huzhir/hotels/1372499/,37
Иркутск,904225,"Отель ""Михаил Строгов""","Иркутск, Депутатская улица, 36",https://tvil.ru/city/irkutsk/hotels/904225/,21
Братск,1265779,"Отель ""Клубный Квартал""","Братск, бульвар Победы, 30",https://tvil.ru/city/bratsk/hotels/1265779/,48
Иркутск,1276636,"Парк-отель ""Бурдугуз""","Иркутск, Большереченское муниципальное образование, посёлок Бурдугуз, Лесная улица, 1",https://tvil.ru/city/irkutsk/hotels/1276636/,69
Иркутск,1382100,"Гостиница ""У Истока""","Иркутск, улица Ржанова, 43",https://tvil.ru/city/irkutsk/hotels/1382100/,24
Ангарск,1314294,"Гостиница ""Ангара-Приоритет""","Ангарск, квартал Б, 13",https://tvil.ru/city/angarsk/hotels/1314294/,31
Нижнеудинск,1467982,Гостиница,"Нижнеудинск, Октябрьская улица, 1-Б",https://tvil.ru/city/nizhneudinsk/hotels/1467982/,5
