tvil_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
1435824,"Гостиница ""Ангара""",300,6,9,2.0,2026-03-08,5500.00
906031,"Гостиница ""Матрёшка""",35,7,15,20.0,2026-03-08,5043.00
1265180,"Отель ""Байкал Бизнес Центр""",59,4,10,6.78,2026-03-08,9400.00
1434513,"Парк отель ""Байкал""",9,11,35,122.22,2026-03-08,3500.00
1296851,"Гостиница ""Русь""",56,4,10,7.14,2026-03-08,4500.00
1328740,"Гостиница ""На Звездинской""",30,5,9,16.67,2026-03-08,5000.00
1889753,"Мини-отель ""Проспект""",4,2,8,50.0,2026-03-08,3300.00
1009170,"Апарт-отель ""Sokolov Hotel""",30,12,46,40.0,2026-03-08,3000.00
1490581,"Гостиница ""Юбилейная""",23,6,11,26.09,2026-03-08,2500.00
1298063,"Бутик-отель ""География""",12,3,10,25.0,2026-03-08,7600.00
787596,"Гостиница ""Ochagof""",23,4,12,17.39,2026-03-08,5950.00
1000539,"Отель ""Маяк""",75,3,6,4.0,2026-03-08,10120.00
1277758,"Отель ""Гранд Байкал""",64,3,5,4.69,2026-03-08,9300.00
1372499,"Отель ""Байкал Хан Ольхон""",37,3,6,8.11,2026-03-08,16500.00
946962,"Отель ""Лотос""",21,6,17,28.57,2026-03-08,1150.00
1032271,"Отель ""Даурия""",15,3,6,20.0,2026-03-08,5500.00
1265779,"Отель ""Клубный Квартал""",48,5,10,10.42,2026-03-08,3400.00
1287498,"Парк-отель ""Соболинка""",33,2,2,6.06,2026-03-08,7700.00
1276636,"Парк-отель ""Бурдугуз""",69,8,24,11.59,2026-03-08,19500.00
1390225,"Гостиница ""Добрый Кот""",10,16,44,160.0,2026-03-08,800.00
1367731,"Отель ""Яковлевъ""",25,2,4,8.0,2026-03-08,4700.00
1462849,"Гостиница ""7 дорог""",19,7,22,36.84,2026-03-08,7970.00
1491765,"Гостиница ""130Hotel""",12,2,4,16.67,2026-03-08,4500.00
1487384,"Парк отель ""Уюга""",58,7,26,12.07,2026-03-08,4500.00
1609403,"Отель ""Иркут""",30,3,5,10.0,2026-03-08,3350.00
1690094,Гостиница Олимпиада,25,4,6,16.0,2026-03-08,1700.00
1892012,"Отель ""Подлеморье""",14,7,16,50.0,2026-03-08,5500.00
1913029,"Отель ""Точка Байкала""",38,2,8,5.26,2026-03-08,10000.00
1467982,Гостиница,5,3,5,60.0,2026-03-08,1500.00
1490199,Отель «Альпари»,10,3,8,30.0,2026-03-08,2400.00
1382100,"Гостиница ""У Истока""",24,4,8,16.67,2026-03-08,3400.00
1314294,"Гостиница ""Ангара-Приоритет""",31,6,12,19.35,2026-03-08,4500.00
1048431,"Гостиница ""Usadba 50 ( Усадьба 50)""",15,7,12,46.67,2026-03-08,4100.00
904225,"Отель ""Михаил Строгов""",21,9,16,42.86,2026-03-08,5400.00
1655828,"Апарт-отель ""Светлый""",6,4,8,66.67,2026-03-08,4500.00
1441288,Отель Армат 4*,40,9,20,22.5,2026-03-08,7400.00
2063101,"Гостиница ""Азия-Европа""",19,7,14,36.84,2026-03-08,5250.00
1775519,"Гостиница ""Nord Star Hotel""",12,2,6,16.67,2026-03-08,6500.00
1851647,"Парк-Отель ""Шелест""",8,4,8,50.0,2026-03-08,5000.00
1367592,"Отель ""Атлас""",28,0,0,0.0,2026-03-08,
1472664,"Гостиница ""Байкал Форест""",76,0,0,0.0,2026-03-08,
424345,"Гостиничный комплекс ""Лазурный берег""",66,0,0,0.0,2026-03-08,
1450305,Дача БайкалЭко,10,2,4,20.0,2026-03-08,27000.00
425543,"Отель ""Звезда""",64,6,14,9.38,2026-03-08,8700.00
895518,"Гостиница ""Космос""",16,7,26,43.75,2026-03-08,4675.00
1296594,"Отель ""Тайга""",44,5,14,11.36,2026-03-08,7000.00
1508283,"Гостиница"" Аврора""",7,4,10,57.14,2026-03-08,2900.00
1390108,"Гостиница  ""Воробьевы горы""",11,0,0,0.0,2026-03-08,
1097942,Hotel Olhon 2*,28,4,15,14.29,2026-03-08,8000.00
1632075,"Отель"" Арбат""",11,4,8,36.36,2026-03-08,6190.00
1785783,"Отель ""Белый Берег""",5,4,16,80.0,2026-03-08,9500.00
767249,"Отель ""Купеческий Дворъ""",14,2,6,14.29,2026-03-08,8900.00
898794,"Бутик-отель ""Маруся""",14,3,7,21.43,2026-03-08,9345.00
1129766,"Доходный дом ""М.А. Листратовой""",15,0,0,0.0,2026-03-08,
1343236,"Бутик-отель ""Аристократ""",12,4,8,33.33,2026-03-08,4500.00
1345611,Гостиница,29,8,20,27.59,2026-03-08,13800.00
1335449,Отель Амурский,17,10,22,58.82,2026-03-08,17900.00
1378154,"Гостиница ""Байкал - Северное море""",120,13,31,10.83,2026-03-08,8510.00
1802586,"Гостиница ""BAIKAL VIEW""",99,0,0,0.0,2026-03-08,
1899852,Отель «Байкал-Аляска»,24,0,0,0.0,2026-03-08,
1979910,"Отель""NUUR HOTEL""",28,1,2,3.57,2026-03-08,9300.00
1993192,"Парк-отель ""Алтан""",21,4,12,19.05,2026-03-08,25000.00
1367536,"Отель ""Санаторий Солнечный""",125,4,8,3.2,2026-03-08,4350.00
2036706,"Отель ""Магистраль""",21,9,25,42.86,2026-03-08,3100.00
2032078,Гостиница «Усадьба Егорова»,10,6,15,60.0,2026-03-08,7000.00
